Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,0.00298563,0.09992048,0.00264254,2.63214803
0.00298563,0.09992048,0.00264254,0.00595802,0.19984161,0.00527563,2.63214803
0.00595802,0.19984161,0.00527563,0.00891588,0.29976345,0.00789817,2.63214803
0.00891588,0.29976345,0.00789817,0.01185770,0.39968607,0.01050888,2.63214803
0.01185770,0.39968607,0.01050888,0.01489575,0.49961083,0.01291979,2.63214803
0.01489575,0.49961083,0.01291979,0.01791277,0.59953652,0.01531855,2.63214803
0.01791277,0.59953652,0.01531855,0.02090640,0.69946324,0.01770343,2.63214803
0.02090640,0.69946324,0.01770343,0.02387393,0.79939113,0.02007239,2.63214803
0.02387393,0.79939113,0.02007239,0.02681219,0.89932031,0.02242301,2.63214803
0.02681219,0.89932031,0.02242301,0.02971748,0.99925095,0.02475244,2.63214803
0.02971748,0.99925095,0.02475244,0.03258549,1.09918324,0.02705732,2.63214803
0.03258549,1.09918324,0.02705732,0.03541106,1.19911739,0.02933364,2.63214803
0.03541106,1.19911739,0.02933364,0.03818810,1.29905365,0.03157662,2.63214803
0.03818810,1.29905365,0.03157662,0.04090932,1.39899232,0.03378064,2.63214803
0.04090932,1.39899232,0.03378064,0.04356591,1.49893372,0.03593903,2.63214803
0.04356591,1.49893372,0.03593903,0.04614723,1.59887823,0.03804406,2.63214803
0.04614723,1.59887823,0.03804406,0.04864036,1.69882627,0.04008701,2.63214803
0.04864036,1.69882627,0.04008701,0.05102960,1.79877828,0.04205856,2.63214803
0.05102960,1.79877828,0.04205856,0.05329612,1.89873470,0.04395015,2.63214803
0.05329612,1.89873470,0.04395015,0.05541780,1.99869586,0.04575722,2.63214803
0.05541780,1.99869586,0.04575722,0.05737024,2.09866183,0.04748690,2.63214803
0.05737024,2.09866183,0.04748690,0.05912985,2.19863209,0.04917527,2.63214803
0.05912985,2.19863209,0.04917527,0.06068248,2.29860479,0.05092140,2.63214803
0.06068248,2.29860479,0.05092140,0.06206640,2.39857525,0.05291937,2.63214803
0.06206640,2.39857525,0.05291937,0.06360371,2.49853443,0.05532747,2.57550958
0.06206640,2.39857525,0.05291937,-0.03529024,2.39266711,0.07498242,1.41421356
0.06360371,2.49853443,0.05532747,0.07915318,2.59731674,0.05480841,2.57550958
-0.03529024,2.39266711,0.07498242,-0.12319049,2.43649430,0.05620147,1.41421356
0.07915318,2.59731674,0.05480841,0.09763857,2.69548174,0.05949059,2.44948974
0.07915318,2.59731674,0.05480841,0.12025363,2.58521332,-0.03554788,1.56508458
-0.12319049,2.43649430,0.05620147,-0.20159108,2.49614858,0.07336868,1.41421356
0.09763857,2.69548174,0.05949059,0.11090767,2.79224564,0.08095401,2.44948974
0.07915318,2.59731674,0.05480841,0.08049968,2.59222058,0.15466940,1.18920712
0.12025363,2.58521332,-0.03554788,0.13577505,2.60653314,-0.13200798,1.49534878
-0.20159108,2.49614858,0.07336868,-0.28518509,2.55072236,0.06755963,1.41421356
0.11090767,2.79224564,0.08095401,0.12274788,2.88917468,0.10250792,2.43229928
0.12025363,2.58521332,-0.03554788,0.20119751,2.64048352,-0.01571624,1.00000000
0.11090767,2.79224564,0.08095401,0.01538757,2.78491667,0.10962800,1.00000000
0.08049968,2.59222058,0.15466940,0.08530498,2.59534710,0.25450493,1.18920712
0.13577505,2.60653314,-0.13200798,0.11008707,2.63371298,-0.22475163,1.49534878
-0.28518509,2.55072236,0.06755963,-0.36340469,2.59871802,0.10728507,1.31607401
0.12274788,2.88917468,0.10250792,0.13704127,2.98607055,0.12267942,2.23606798
-0.28518509,2.55072236,0.06755963,-0.30642203,2.47764773,0.00268212,1.00000000
0.12274788,2.88917468,0.10250792,0.03974570,2.93889938,0.12776841,1.68179283
0.20119751,2.64048352,-0.01571624,0.28295906,2.60111634,-0.05773142,1.00000000
0.08530498,2.59534710,0.25450493,0.06870972,2.60702168,0.35242480,1.18920712
0.11008707,2.63371298,-0.22475163,0.08449115,2.65905053,-0.31804073,1.49534878
-0.36340469,2.59871802,0.10728507,-0.40407950,2.66542293,0.16970314,1.31607401
0.13704127,2.98607055,0.12267942,0.16746505,3.08024310,0.13702947,2.23606798
0.12274788,2.88917468,0.10250792,0.10366286,2.88681078,0.20064137,1.18920712
-0.30642203,2.47764773,0.00268212,-0.29781344,2.44930200,-0.09282920,1.00000000
0.03974570,2.93889938,0.12776841,0.02693627,2.96158400,0.03122139,1.68179283
0.28295906,2.60111634,-0.05773142,0.37636607,2.61649850,-0.08995747,1.00000000
