Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,0.00263283,0.09996403,0.00051045,3.31662479
0.00263283,0.09996403,0.00051045,0.00525426,0.19992840,0.00101309,3.31662479
0.00525426,0.19992840,0.00101309,0.00786352,0.29989313,0.00150720,3.31662479
0.00786352,0.29989313,0.00150720,0.01045979,0.39985825,0.00199197,3.31662479
0.01045979,0.39985825,0.00199197,0.01304223,0.49982377,0.00246650,3.31662479
0.01304223,0.49982377,0.00246650,0.01560998,0.59978973,0.00292978,3.31662479
0.01560998,0.59978973,0.00292978,0.01816219,0.69975614,0.00338069,3.31662479
0.01816219,0.69975614,0.00338069,0.02069808,0.79972302,0.00381798,3.31662479
0.02069808,0.79972302,0.00381798,0.02321700,0.89969040,0.00424023,3.31662479
0.02321700,0.89969040,0.00424023,0.02571855,0.99965828,0.00464589,3.31662479
0.02571855,0.99965828,0.00464589,0.02820275,1.09962667,0.00503327,3.31662479
0.02820275,1.09962667,0.00503327,0.03067037,1.19959555,0.00540052,3.31662479
0.03067037,1.19959555,0.00540052,0.03312337,1.29956486,0.00574571,3.31662479
0.03312337,1.29956486,0.00574571,0.03556566,1.39953452,0.00606689,3.31662479
0.03556566,1.39953452,0.00606689,0.03800448,1.49950434,0.00636235,3.31662479
0.03800448,1.49950434,0.00636235,0.04045250,1.59947401,0.00663094,3.31662479
0.04045250,1.59947401,0.00663094,0.04293176,1.69944297,0.00687302,3.31662479
0.04293176,1.69944297,0.00687302,0.04548038,1.79941025,0.00709238,3.31662479
0.04548038,1.79941025,0.00709238,0.04816413,1.89937401,0.00730118,3.31662479
0.04816413,1.89937401,0.00730118,0.05109201,1.99933088,0.00753204,3.31662479
0.05109201,1.99933088,0.00753204,0.05439850,2.09927574,0.00783457,3.31662479
0.05439850,2.09927574,0.00783457,0.05795004,2.19921257,0.00796550,2.87162171
0.05439850,2.09927574,0.00783457,0.15247648,2.09908604,0.02734543,2.69816788
0.05795004,2.19921257,0.00796550,0.05453902,2.29905441,0.00349659,2.59002006
0.05795004,2.19921257,0.00796550,-0.01156251,2.21609222,-0.06191355,2.18993870
0.15247648,2.09908604,0.02734543,0.21063023,2.14139980,0.09682698,2.27950706
0.05453902,2.29905441,0.00349659,0.06474079,2.39806710,0.01310963,2.35961106
0.15247648,2.09908604,0.02734543,0.24496642,2.09606304,0.06524624,1.00000000
0.05453902,2.29905441,0.00349659,0.11820561,2.27662599,-0.07028370,1.93433642
-0.01156251,2.21609222,-0.06191355,-0.09904203,2.25987760,-0.08265419,2.18993870
0.21063023,2.14139980,0.09682698,0.25730502,2.20491182,0.15837117,2.27950706
0.06474079,2.39806710,0.01310963,0.07468418,2.49683892,0.02516193,1.96798967
0.15247648,2.09908604,0.02734543,0.24496642,2.09606304,0.06524624,1.00000000
0.06474079,2.39806710,0.01310963,0.00804581,2.40371877,0.09529076,2.00000000
0.11820561,2.27662599,-0.07028370,0.12272591,2.27895036,-0.17015443,1.93433642
-0.09904203,2.25987760,-0.08265419,-0.16315702,2.32212060,-0.12754380,2.16573677
0.25730502,2.20491182,0.15837117,0.31054298,2.27144864,0.21070253,1.31607401
0.07468418,2.49683892,0.02516193,0.09348891,2.59504170,0.02677254,1.96798967
0.15247648,2.09908604,0.02734543,0.24496642,2.09606304,0.06524624,1.00000000
-0.09904203,2.25987760,-0.08265419,-0.17128865,2.24658302,-0.01480377,1.00000000
0.25730502,2.20491182,0.15837117,0.33529333,2.21981519,0.21916354,1.00000000
0.00804581,2.40371877,0.09529076,-0.04840703,2.43757478,0.17056922,2.00000000
0.12272591,2.27895036,-0.17015443,0.12920486,2.30669920,-0.26600862,1.93433642
-0.16315702,2.32212060,-0.12754380,-0.21067861,2.39921896,-0.16994121,2.16573677
0.31054298,2.27144864,0.21070253,0.34084615,2.35831018,0.24990446,1.31607401
0.09348891,2.59504170,0.02677254,0.11577170,2.69251503,0.02833069,1.89882892
0.15247648,2.09908604,0.02734543,0.24496642,2.09606304,0.06524624,1.00000000
0.25730502,2.20491182,0.15837117,0.33529333,2.21981519,0.21916354,1.00000000
0.09348891,2.59504170,0.02677254,0.06115473,2.61612005,-0.06547823,1.18920712
-0.17128865,2.24658302,-0.01480377,-0.24353527,2.23328844,0.05304665,1.00000000
-0.04840703,2.43757478,0.17056922,-0.08350245,2.50173295,0.23877509,2.00000000
0.12920486,2.30669920,-0.26600862,0.12405926,2.37004775,-0.34321279,1.93433642
-0.21067861,2.39921896,-0.16994121,-0.25753819,2.47674175,-0.21230155,2.16573677
0.34084615,2.35831018,0.24990446,0.32848119,2.43712488,0.31019833,1.31607401
0.11577170,2.69251503,0.02833069,0.14291600,2.78836358,0.03706243,1.89882892
0.15247648,2.09908604,0.02734543,0.24496642,2.09606304,0.06524624,1.00000000
0.25730502,2.20491182,0.15837117,0.33529333,2.21981519,0.21916354,1.00000000
0.06115473,2.61612005,-0.06547823,0.03991702,2.63370487,-0.16160176,1.00000000
-0.08350245,2.50173295,0.23877509,-0.11602723,2.56676675,0.30742452,2.00000000
0.12405926,2.37004775,-0.34321279,0.11672724,2.42654364,-0.42539829,1.93433642
