Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,0.00018626,0.09945396,-0.01043433,1.31607401
0.00018626,0.09945396,-0.01043433,0.00032164,0.19890258,-0.02092016,1.31607401
0.00032164,0.19890258,-0.02092016,0.00040083,0.29834532,-0.03146226,1.31607401
0.00040083,0.29834532,-0.03146226,0.00041774,0.39778154,-0.04206598,1.31607401
0.00041774,0.39778154,-0.04206598,0.00036532,0.49721050,-0.05273741,1.31607401
0.00036532,0.49721050,-0.05273741,0.00023539,0.59663134,-0.06348349,1.31607401
0.00023539,0.59663134,-0.06348349,0.00001838,0.69604307,-0.07431220,1.31607401
0.00001838,0.69604307,-0.07431220,-0.00029702,0.79544449,-0.08523273,1.31607401
-0.00029702,0.79544449,-0.08523273,-0.00072421,0.89483418,-0.09625576,1.31607401
-0.00072421,0.89483418,-0.09625576,-0.00127930,0.99421042,-0.10739380,1.31607401
-0.00127930,0.99421042,-0.10739380,-0.00198178,1.09357109,-0.11866159,1.31607401
-0.00198178,1.09357109,-0.11866159,-0.00285557,1.19291359,-0.13007667,1.31607401
-0.00285557,1.19291359,-0.13007667,-0.00393036,1.29223462,-0.14166017,1.31607401
-0.00393036,1.29223462,-0.14166017,-0.00524361,1.39152995,-0.15343782,1.31607401
-0.00524361,1.39152995,-0.15343782,-0.00684337,1.49079401,-0.16544142,1.31607401
-0.00684337,1.49079401,-0.16544142,-0.00879259,1.59001931,-0.17771094,1.31607401
-0.00879259,1.59001931,-0.17771094,-0.01117574,1.68919539,-0.19029769,1.31607401
-0.01117574,1.68919539,-0.19029769,-0.01410953,1.78830710,-0.20326924,1.31607401
-0.01410953,1.78830710,-0.20326924,-0.01776117,1.88733139,-0.21671748,1.31607401
-0.01776117,1.88733139,-0.21671748,-0.02238116,1.98623089,-0.23077260,1.31607401
-0.02238116,1.98623089,-0.23077260,-0.02836697,2.08493979,-0.24562932,1.31607401
-0.02836697,2.08493979,-0.24562932,-0.03639825,2.18332889,-0.26160065,1.31607401
-0.03639825,2.18332889,-0.26160065,-0.04775528,2.28110352,-0.27923979,1.31607401
-0.04775528,2.28110352,-0.27923979,-0.06512378,2.37744902,-0.29963295,1.31607401
-0.06512378,2.37744902,-0.29963295,-0.09367569,2.46993988,-0.32473731,1.31607401
-0.09367569,2.46993988,-0.32473731,-0.12525222,2.56079552,-0.35209011,1.18920712
-0.09367569,2.46993988,-0.32473731,-0.16798101,2.40656155,-0.34622931,1.00000000
-0.12525222,2.56079552,-0.35209011,-0.10503192,2.65842940,-0.35975585,1.18920712
-0.10503192,2.65842940,-0.35975585,-0.08500339,2.75598576,-0.36878995,1.18920712
-0.08500339,2.75598576,-0.36878995,-0.06523355,2.85341135,-0.37962544,1.18920712
-0.06523355,2.85341135,-0.37962544,-0.04582593,2.95060716,-0.39290398,1.18920712
-0.04582593,2.95060716,-0.39290398,-0.02695005,3.04737672,-0.40961781,1.18920712
-0.02695005,3.04737672,-0.40961781,-0.00890338,3.14329788,-0.43137670,1.18920712
-0.00890338,3.14329788,-0.43137670,0.00774928,3.23737540,-0.46090819,1.18920712
0.00774928,3.23737540,-0.46090819,0.02186757,3.32706693,-0.50281408,1.18920712
0.02186757,3.32706693,-0.50281408,0.03132045,3.40617945,-0.56324464,1.18920712
0.03132045,3.40617945,-0.56324464,0.03388661,3.46541044,-0.64377478,1.00000000
0.03132045,3.40617945,-0.56324464,0.00726198,3.33276770,-0.62674192,1.00000000
0.03388661,3.46541044,-0.64377478,0.05817157,3.54286017,-0.58536433,1.00000000
0.05817157,3.54286017,-0.58536433,0.08245652,3.62030989,-0.52695387,1.00000000
0.08245652,3.62030989,-0.52695387,0.10674147,3.69775961,-0.46854341,1.00000000
0.10674147,3.69775961,-0.46854341,0.13102643,3.77520933,-0.41013295,1.00000000
0.13102643,3.77520933,-0.41013295,0.15531138,3.85265905,-0.35172249,1.00000000
0.15531138,3.85265905,-0.35172249,0.17959633,3.93010878,-0.29331203,1.00000000
0.17959633,3.93010878,-0.29331203,0.20388129,4.00755850,-0.23490158,1.00000000
0.20388129,4.00755850,-0.23490158,0.22816624,4.08500822,-0.17649112,1.00000000
0.22816624,4.08500822,-0.17649112,0.25245119,4.16245794,-0.11808066,1.00000000
0.25245119,4.16245794,-0.11808066,0.27673615,4.23990766,-0.05967020,1.00000000
0.27673615,4.23990766,-0.05967020,0.30102110,4.31735739,-0.00125974,1.00000000
0.30102110,4.31735739,-0.00125974,0.32530605,4.39480711,0.05715071,1.00000000
0.32530605,4.39480711,0.05715071,0.34959101,4.47225683,0.11556117,1.00000000
