Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,-0.00116206,0.09991672,-0.00391127,1.73205081
-0.00116206,0.09991672,-0.00391127,-0.00233592,0.19983210,-0.00785340,1.73205081
-0.00233592,0.19983210,-0.00785340,-0.00211017,0.29977628,-0.01118647,1.73205081
-0.00211017,0.29977628,-0.01118647,-0.00190085,0.39971948,-0.01454990,1.73205081
-0.00190085,0.39971948,-0.01454990,-0.00109535,0.49966854,-0.01763801,1.73205081
-0.00109535,0.49966854,-0.01763801,-0.00021606,0.59964592,-0.01957460,1.73205081
-0.00021606,0.59964592,-0.01957460,0.00064223,0.69962268,-0.02155241,1.73205081
0.00064223,0.69962268,-0.02155241,0.00147777,0.79959873,-0.02357510,1.73205081
0.00147777,0.79959873,-0.02357510,0.00228866,0.89957398,-0.02564682,1.73205081
0.00228866,0.89957398,-0.02564682,0.00307275,0.99954831,-0.02777221,1.73205081
0.00307275,0.99954831,-0.02777221,0.00382764,1.09952160,-0.02995653,1.73205081
0.00382764,1.09952160,-0.02995653,0.00455064,1.19949369,-0.03220577,1.73205081
0.00455064,1.19949369,-0.03220577,0.00523869,1.29946438,-0.03452675,1.73205081
0.00523869,1.29946438,-0.03452675,0.00588834,1.39943346,-0.03692729,1.73205081
0.00588834,1.39943346,-0.03692729,0.00649567,1.49940063,-0.03941639,1.73205081
0.00649567,1.49940063,-0.03941639,0.00705620,1.59936556,-0.04200446,1.73205081
0.00705620,1.59936556,-0.04200446,0.00756477,1.69932783,-0.04470361,1.73205081
0.00756477,1.69932783,-0.04470361,0.00801545,1.79928692,-0.04752798,1.73205081
0.00801545,1.79928692,-0.04752798,0.00840139,1.89924218,-0.05049421,1.73205081
0.00840139,1.89924218,-0.05049421,0.00871460,1.99919276,-0.05362192,1.73205081
0.00871460,1.99919276,-0.05362192,0.00894578,2.09913762,-0.05693441,1.73205081
0.00894578,2.09913762,-0.05693441,0.00908405,2.19907537,-0.06045939,1.73205081
0.00908405,2.19907537,-0.06045939,0.00911672,2.29900426,-0.06422989,1.73205081
0.00911672,2.29900426,-0.06422989,0.00902901,2.39892196,-0.06828509,1.73205081
0.00902901,2.39892196,-0.06828509,0.00880405,2.49882549,-0.07267093,1.73205081
0.00880405,2.49882549,-0.07267093,0.00842316,2.59871099,-0.07743971,1.73205081
0.00842316,2.59871099,-0.07743971,0.00786728,2.69857375,-0.08264733,1.73205081
0.00786728,2.69857375,-0.08264733,0.00712040,2.79840851,-0.08834495,1.73205081
0.00712040,2.79840851,-0.08834495,0.00617711,2.89821071,-0.09456041,1.73205081
0.00617711,2.89821071,-0.09456041,0.00505594,2.99797943,-0.10126449,1.73205081
0.00505594,2.99797943,-0.10126449,0.00381665,3.09772203,-0.10832690,1.73205081
0.00381665,3.09772203,-0.10832690,0.00256973,3.19745718,-0.11549249,1.68179283
0.00381665,3.09772203,-0.10832690,-0.03049059,3.09203699,-0.20208560,1.00000000
0.00256973,3.19745718,-0.11549249,0.00465068,3.29710417,-0.10735946,1.68179283
-0.03049059,3.09203699,-0.20208560,-0.06479783,3.08635194,-0.29584430,1.00000000
0.00465068,3.29710417,-0.10735946,0.00677029,3.39677032,-0.09947493,1.68179283
-0.06479783,3.08635194,-0.29584430,-0.09910506,3.08066690,-0.38960300,1.00000000
0.00677029,3.39677032,-0.09947493,0.00895889,3.49645404,-0.09183505,1.68179283
-0.09910506,3.08066690,-0.38960300,-0.11367558,3.12393504,-0.47857247,1.00000000
0.00895889,3.49645404,-0.09183505,0.01119400,3.59615140,-0.08438924,1.68179283
-0.11367558,3.12393504,-0.47857247,-0.13714064,3.14798451,-0.57275854,1.00000000
0.01119400,3.59615140,-0.08438924,0.01336104,3.69585521,-0.07700994,1.62657656
0.01119400,3.59615140,-0.08438924,0.10892587,3.60259108,-0.10456379,1.00000000
