Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,0.00618095,0.09980566,0.00079127,3.01834948
0.00618095,0.09980566,0.00079127,0.01236227,0.19961118,0.00159759,3.01834948
0.01236227,0.19961118,0.00159759,0.01854395,0.29941653,0.00242057,3.01834948
0.01854395,0.29941653,0.00242057,0.02472602,0.39922171,0.00326206,3.01834948
0.02472602,0.39922171,0.00326206,0.03090845,0.49902670,0.00412421,3.01834948
0.03090845,0.49902670,0.00412421,0.03709126,0.59883145,0.00500950,3.01834948
0.03709126,0.59883145,0.00500950,0.04327446,0.69863595,0.00592083,3.01834948
0.04327446,0.69863595,0.00592083,0.04945804,0.79844015,0.00686158,3.01834948
0.04945804,0.79844015,0.00686158,0.05564204,0.89824400,0.00783577,3.01834948
0.05564204,0.89824400,0.00783577,0.06182653,0.99804744,0.00884817,3.01834948
0.06182653,0.99804744,0.00884817,0.06801161,1.09785039,0.00990448,3.01834948
0.06801161,1.09785039,0.00990448,0.07419750,1.19765274,0.01101158,3.01834948
0.07419750,1.19765274,0.01101158,0.08038458,1.29745435,0.01217781,3.01834948
0.08038458,1.29745435,0.01217781,0.08657355,1.39725500,0.01341345,3.01834948
0.08657355,1.39725500,0.01341345,0.09276557,1.49705441,0.01473122,3.01834948
0.09276557,1.49705441,0.01473122,0.09896263,1.59685216,0.01614706,3.01834948
0.09896263,1.59685216,0.01614706,0.10516798,1.69664765,0.01768128,3.01834948
0.10516798,1.69664765,0.01768128,0.11138658,1.79643999,0.01936008,3.01834948
0.11138658,1.79643999,0.01936008,0.11762496,1.89622793,0.02121742,3.01834948
0.11762496,1.89622793,0.02121742,0.12388789,1.99600999,0.02329470,3.01834948
0.12388789,1.99600999,0.02329470,0.13016455,2.09578567,0.02562234,3.01834948
0.13016455,2.09578567,0.02562234,0.13637878,2.19556093,0.02812855,2.86100555
0.13016455,2.09578567,0.02562234,0.07102862,2.11518031,0.10389615,2.00000000
0.13637878,2.19556093,0.02812855,0.14992487,2.29409567,0.01776477,2.85026988
0.13637878,2.19556093,0.02812855,0.23520149,2.18353187,0.01867482,1.00000000
0.07102862,2.11518031,0.10389615,0.03320704,2.17221178,0.17681351,2.00000000
0.14992487,2.29409567,0.01776477,0.15847599,2.39307497,0.00636403,2.79468239
0.14992487,2.29409567,0.01776477,0.09680394,2.28787869,0.10226043,1.49534878
0.23520149,2.18353187,0.01867482,0.32460686,2.18359586,-0.02612112,1.00000000
0.03320704,2.17221178,0.17681351,-0.00447072,2.22830003,0.25053253,2.00000000
0.15847599,2.39307497,0.00636403,0.17421878,2.49041204,-0.01029912,2.79468239
0.09680394,2.28787869,0.10226043,0.02769703,2.31108898,0.03380959,1.18920712
0.32460686,2.18359586,-0.02612112,0.37359160,2.20195895,-0.11134607,1.00000000
-0.00447072,2.22830003,0.25053253,-0.02606245,2.29069090,0.32564029,2.00000000
0.17421878,2.49041204,-0.01029912,0.18849852,2.58840645,-0.02419815,2.60429069
0.09680394,2.28787869,0.10226043,0.16479300,2.30470981,0.17363410,1.31607401
0.17421878,2.49041204,-0.01029912,0.16574862,2.46183650,-0.10575432,1.96798967
0.02769703,2.31108898,0.03380959,-0.05573727,2.33071611,-0.01770247,1.18920712
-0.02606245,2.29069090,0.32564029,-0.06573394,2.34339994,0.40079301,2.00000000
0.18849852,2.58840645,-0.02419815,0.20134963,2.68732530,-0.01713337,2.60429069
0.16479300,2.30470981,0.17363410,0.24278606,2.34647443,0.22024741,1.31607401
0.16574862,2.46183650,-0.10575432,0.19086100,2.47497409,-0.20165412,1.96798967
-0.05573727,2.33071611,-0.01770247,-0.12897917,2.38104221,-0.06355994,1.18920712
0.20134963,2.68732530,-0.01713337,0.21246998,2.78668458,-0.01511591,1.77827941
-0.06573394,2.34339994,0.40079301,-0.15120283,2.32833642,0.35111243,1.00000000
0.20134963,2.68732530,-0.01713337,0.29840221,2.66856018,-0.00201161,2.00000000
0.24278606,2.34647443,0.22024741,0.29635163,2.40519912,0.28092804,1.31607401
0.19086100,2.47497409,-0.20165412,0.20389716,2.52986557,-0.28421915,1.96798967
-0.12897917,2.38104221,-0.06355994,-0.20522027,2.42490899,-0.11113095,1.18920712
-0.09511646,2.40962509,0.46971976,-0.10285028,2.49256869,0.52504196,1.93433642
0.21246998,2.78668458,-0.01511591,0.20220958,2.88492443,-0.03072544,1.77827941
0.20134963,2.68732530,-0.01713337,0.10328066,2.70682632,-0.01861232,2.11474253
-0.09511646,2.40962509,0.46971976,-0.00889308,2.42545539,0.51783348,1.00000000
-0.15120283,2.32833642,0.35111243,-0.23667171,2.31327290,0.30143185,1.00000000
0.29840221,2.66856018,-0.00201161,0.37903163,2.71431754,0.03547386,2.00000000
0.29635163,2.40519912,0.28092804,0.34376078,2.48237391,0.32331230,1.31607401
0.20389716,2.52986557,-0.28421915,0.24138834,2.56729878,-0.36903169,1.96798967
-0.20522027,2.42490899,-0.11113095,-0.25050515,2.50908917,-0.14050742,1.18920712
-0.10285028,2.49256869,0.52504196,-0.14629812,2.57075758,0.56974972,1.93433642
0.20220958,2.88492443,-0.03072544,0.20257144,2.98398701,-0.04438100,1.77827941
0.10328066,2.70682632,-0.01861232,0.02543821,2.76952770,-0.02162717,1.00000000
0.37903163,2.71431754,0.03547386,0.45872094,2.76007588,0.07491735,1.96798967
0.34376078,2.48237391,0.32331230,0.39354394,2.55954706,0.36288427,1.18920712
0.24138834,2.56729878,-0.36903169,0.27810881,2.60235270,-0.45518754,1.96798967
-0.25050515,2.50908917,-0.14050742,-0.29579004,2.59326935,-0.16988388,1.18920712
-0.14629812,2.57075758,0.56974972,-0.15593574,2.66533300,0.60077561,1.89882892
