Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,0.00283619,0.09995793,0.00060692,2.83941151
0.00283619,0.09995793,0.00060692,0.00566158,0.19991605,0.00123321,2.83941151
0.00566158,0.19991605,0.00123321,0.00847500,0.29987436,0.00188116,2.83941151
0.00847500,0.29987436,0.00188116,0.01127511,0.39983289,0.00255340,2.83941151
0.01127511,0.39983289,0.00255340,0.01406037,0.49979165,0.00325302,2.83941151
0.01406037,0.49979165,0.00325302,0.01682895,0.59975064,0.00398367,2.83941151
0.01682895,0.59975064,0.00398367,0.01957873,0.69970989,0.00474970,2.83941151
0.01957873,0.69970989,0.00474970,0.02230717,0.79966941,0.00555626,2.83941151
0.02230717,0.79966941,0.00555626,0.02501126,0.89962920,0.00640963,2.83941151
0.02501126,0.89962920,0.00640963,0.02768733,0.99958927,0.00731739,2.83941151
0.02768733,0.99958927,0.00731739,0.03033092,1.09954960,0.00828889,2.83941151
0.03033092,1.09954960,0.00828889,0.03293649,1.19951016,0.00933571,2.83941151
0.03293649,1.19951016,0.00933571,0.03549709,1.29947091,0.01047237,2.83941151
0.03549709,1.29947091,0.01047237,0.03800383,1.39943174,0.01171723,2.83941151
0.03800383,1.39943174,0.01171723,0.04044511,1.49939246,0.01309376,2.83941151
0.04044511,1.49939246,0.01309376,0.04280547,1.59935276,0.01463214,2.83941151
0.04280547,1.59935276,0.01463214,0.04506379,1.69931213,0.01637121,2.83941151
0.04506379,1.69931213,0.01637121,0.04719056,1.79926972,0.01836049,2.83941151
0.04719056,1.79926972,0.01836049,0.04914415,1.89922417,0.02066077,2.83941151
0.04914415,1.89922417,0.02066077,0.05086869,1.99917340,0.02333972,2.83941151
0.05086869,1.99917340,0.02333972,0.05231282,2.09911443,0.02645526,2.83941151
0.05231282,2.09911443,0.02645526,0.05356415,2.19904296,0.03002217,2.83941151
0.05356415,2.19904296,0.03002217,0.05522942,2.29895239,0.03393769,2.61833050
0.05356415,2.19904296,0.03002217,-0.02033092,2.20363552,0.09724141,2.05976714
0.05522942,2.29895239,0.03393769,0.07182429,2.39706567,0.02401827,2.61833050
