Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,0.00565545,0.09983756,0.00069125,2.99069756
0.00565545,0.09983756,0.00069125,0.01132184,0.19967379,0.00147821,2.99069756
0.01132184,0.19967379,0.00147821,0.01698885,0.29951008,0.00225266,2.99069756
0.01698885,0.29951008,0.00225266,0.02265641,0.39934645,0.00301323,2.99069756
0.02265641,0.39934645,0.00301323,0.02832447,0.49918290,0.00375834,2.99069756
0.02832447,0.49918290,0.00375834,0.03399292,0.59901946,0.00448615,2.99069756
0.03399292,0.59901946,0.00448615,0.03966162,0.69885615,0.00519447,2.99069756
0.03966162,0.69885615,0.00519447,0.04533042,0.79869299,0.00588075,2.99069756
0.04533042,0.79869299,0.00588075,0.05099910,0.89853000,0.00654191,2.99069756
0.05099910,0.89853000,0.00654191,0.05666739,0.99836722,0.00717425,2.99069756
0.05666739,0.99836722,0.00717425,0.06233495,1.09820469,0.00777325,2.99069756
0.06233495,1.09820469,0.00777325,0.06800138,1.19804245,0.00833332,2.99069756
0.06800138,1.19804245,0.00833332,0.07366620,1.29788054,0.00884742,2.99069756
0.07366620,1.29788054,0.00884742,0.07932889,1.39771903,0.00930657,2.99069756
0.07932889,1.39771903,0.00930657,0.08498899,1.49755794,0.00969900,2.99069756
0.08498899,1.49755794,0.00969900,0.09064647,1.59739730,0.01000888,2.99069756
0.09064647,1.59739730,0.01000888,0.09630264,1.69723700,0.01021414,2.99069756
0.09630264,1.69723700,0.01021414,0.10196283,1.79707666,0.01028238,2.99069756
0.10196283,1.79707666,0.01028238,0.10764411,1.89691507,0.01016263,2.99069756
0.10764411,1.89691507,0.01016263,0.11339516,1.99674878,0.00976683,2.99069756
0.11339516,1.99674878,0.00976683,0.11933749,2.09656851,0.00892496,2.99069756
0.11933749,2.09656851,0.00892496,0.12570866,2.19635194,0.00728902,2.77148800
0.11933749,2.09656851,0.00892496,0.02142788,2.09756627,0.02924028,2.14069514
0.12570866,2.19635194,0.00728902,0.13853480,2.29550322,0.00516457,2.77148800
0.02142788,2.09756627,0.02924028,-0.07466487,2.12486877,0.03379633,2.14069514
0.13853480,2.29550322,0.00516457,0.15198570,2.39455508,0.00237112,2.77148800
-0.07466487,2.12486877,0.03379633,-0.15559996,2.17927198,0.05592780,2.14069514
0.15198570,2.39455508,0.00237112,0.16599620,2.49351010,-0.00103620,2.54572990
0.15198570,2.39455508,0.00237112,0.22850560,2.39196428,-0.06195611,2.03054318
-0.15559996,2.17927198,0.05592780,-0.21785262,2.25597928,0.07143895,2.14069514
0.16599620,2.49351010,-0.00103620,0.17455020,2.59281682,0.00702626,2.16573677
0.16599620,2.49351010,-0.00103620,0.12349026,2.49663359,-0.09149884,2.11474253
0.22850560,2.39196428,-0.06195611,0.32838273,2.39565225,-0.06526633,2.03054318
-0.21785262,2.25597928,0.07143895,-0.26215638,2.33569299,0.11246214,2.14069514
0.17455020,2.59281682,0.00702626,0.19166841,2.68969456,0.02496143,2.16573677
0.12349026,2.49663359,-0.09149884,0.08264473,2.53909556,-0.17229874,2.11474253
0.32838273,2.39565225,-0.06526633,0.38647121,2.47061753,-0.09698281,2.03054318
-0.26215638,2.33569299,0.11246214,-0.30697125,2.41613961,0.15144891,2.14069514
0.19166841,2.68969456,0.02496143,0.20948187,2.78646539,0.04279643,2.05976714
0.19166841,2.68969456,0.02496143,0.28828441,2.69299751,0.05054343,1.41421356
0.08264473,2.53909556,-0.17229874,0.03982384,2.58032079,-0.25271548,2.03054318
0.38647121,2.47061753,-0.09698281,0.42271963,2.55051519,-0.14496631,2.03054318
-0.30697125,2.41613961,0.15144891,-0.35167075,2.49864394,0.18601755,2.14069514
0.20948187,2.78646539,0.04279643,0.21624785,2.88351242,0.06595016,2.05976714
0.08264473,2.53909556,-0.17229874,0.00973006,2.56082378,-0.23719354,1.00000000
0.28828441,2.69299751,0.05054343,0.31871553,2.69557456,0.14576584,1.41421356
0.03982384,2.58032079,-0.25271548,0.04541599,2.63233431,-0.33794061,1.31607401
0.42271963,2.55051519,-0.14496631,0.46749831,2.62856338,-0.18859369,2.03054318
-0.35167075,2.49864394,0.18601755,-0.37855940,2.59330735,0.20378939,1.68179283
0.21624785,2.88351242,0.06595016,0.22244219,2.98261590,0.07778784,2.05976714
0.08264473,2.53909556,-0.17229874,0.00973006,2.56082378,-0.23719354,1.00000000
0.03982384,2.58032079,-0.25271548,0.01044922,2.65874775,-0.19806804,1.93433642
-0.35167075,2.49864394,0.18601755,-0.42663170,2.52012841,0.24862165,1.86120972
0.31871553,2.69557456,0.14576584,0.33000058,2.73170026,0.23832707,1.41421356
0.04541599,2.63233431,-0.33794061,0.04498610,2.66892897,-0.43100320,1.31607401
0.46749831,2.62856338,-0.18859369,0.50718569,2.71172984,-0.22742992,2.00000000
-0.37855940,2.59330735,0.20378939,-0.39790862,2.69071283,0.21552739,1.68179283
0.22244219,2.98261590,0.07778784,0.23053513,3.08144740,0.09070445,2.03054318
